0x1d2f230,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,fopen,<< calendar.txt >>,<< w >>
0x1d2f380,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,get_year
0x1d304b0,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,get_day_code,year
0x1d305b0,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,get_leap_year,year
0x1d30760,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,print_calendar,fout,year,day_code,leap_year
0x1d308d0,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,printf,<< Open up 'calendar.txt' to see your calendar...\n >>
0x1d30a10,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,system,<< pause >>
0x1d30d08,GLOBAL,get_year,printf,<< Enter a year:  >>
0x1d30e80,GLOBAL,get_year,scanf,<< %d >>,UNOP
0x1d324c0,GLOBAL,print_calendar,fprintf,fout,<<                    %d >>,year
0x1d32838,GLOBAL,print_calendar,fprintf,fout,<< \n\nJanuary >>
0x1d32a68,GLOBAL,print_calendar,fprintf,fout,<< \n\nFebruary >>
0x1d32ce0,GLOBAL,print_calendar,fprintf,fout,<< \n\nMarch >>
0x1d32ec8,GLOBAL,print_calendar,fprintf,fout,<< \n\nApril >>
0x1d330b0,GLOBAL,print_calendar,fprintf,fout,<< \n\nMay >>
0x1d332d0,GLOBAL,print_calendar,fprintf,fout,<< \n\nJune >>
0x1d334e0,GLOBAL,print_calendar,fprintf,fout,<< \n\nJuly >>
0x1d33700,GLOBAL,print_calendar,fprintf,fout,<< \n\nAugust >>
0x1d33928,GLOBAL,print_calendar,fprintf,fout,<< \n\nSeptember >>
0x1d33b18,GLOBAL,print_calendar,fprintf,fout,<< \n\nOctober >>
0x1d33d08,GLOBAL,print_calendar,fprintf,fout,<< \n\nNovember >>
0x1d33ef8,GLOBAL,print_calendar,fprintf,fout,<< \n\nDecember >>
0x1d34220,GLOBAL,print_calendar,fprintf,fout,<< \n\nSun  Mon  Tue  Wed  Thu  Fri  Sat\n >>
0x1d34548,GLOBAL,print_calendar,fprintf,fout,<<   >>
0x1d34820,GLOBAL,print_calendar,fprintf,fout,<< %2d >>,day
0x1d34ab0,GLOBAL,print_calendar,fprintf,fout,<<     >>
0x1d34bc8,GLOBAL,print_calendar,fprintf,fout,<< \n  >>
